titles,utl,categories,show
霸王别姬 - Farewell My Concubine,https://ssr1.scrape.center/detail/1,剧情,[<Element div at 0x23403cf2ec0>]
这个杀手不太冷 - Léon,https://ssr1.scrape.center/detail/2,剧情,[<Element div at 0x23403cf2ec0>]
肖申克的救赎 - The Shawshank Redemption,https://ssr1.scrape.center/detail/3,剧情,[<Element div at 0x23403cf2ec0>]
泰坦尼克号 - Titanic,https://ssr1.scrape.center/detail/4,剧情,[<Element div at 0x23403cf2ec0>]
罗马假日 - Roman Holiday,https://ssr1.scrape.center/detail/5,剧情,[<Element div at 0x23403cf2ec0>]
唐伯虎点秋香 - Flirting Scholar,https://ssr1.scrape.center/detail/6,剧情,[<Element div at 0x23403cf2ec0>]
乱世佳人 - Gone with the Wind,https://ssr1.scrape.center/detail/7,剧情,[<Element div at 0x23403cf2ec0>]
喜剧之王 - The King of Comedy,https://ssr1.scrape.center/detail/8,剧情,[<Element div at 0x23403cf2ec0>]
楚门的世界 - The Truman Show,https://ssr1.scrape.center/detail/9,剧情,[<Element div at 0x23403cf2ec0>]
狮子王 - The Lion King,https://ssr1.scrape.center/detail/10,剧情,[<Element div at 0x23403cf2ec0>]
