title,title2,title3,导演和主演,评分,protagonist,链接
肖申克的救赎,/The Shawshank Redemption,/月黑高飞(港)  /  刺激1995(台),导演: 弗兰克·德拉邦特 Frank Darabont主演: 蒂姆·罗宾斯 Tim Robbins /...,9.7,希望让人自由。,https://movie.douban.com/subject/1292052/
霸王别姬,/再见，我的妾  /  Farewell My Concubine,,导演: 陈凯歌 Kaige Chen主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,风华绝代。,https://movie.douban.com/subject/1291546/
泰坦尼克号,/Titanic,/铁达尼号(港 / 台),导演: 詹姆斯·卡梅隆 James Cameron主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.5,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
阿甘正传,/Forrest Gump,/福雷斯特·冈普,导演: 罗伯特·泽米吉斯 Robert Zemeckis主演: 汤姆·汉克斯 Tom Hanks / ...,9.5,一部美国近现代史。,https://movie.douban.com/subject/1292720/
千与千寻,/千と千尋の神隠し,/神隐少女(台)  /  千与千寻的神隐,导演: 宫崎骏 Hayao Miyazaki主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.4,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
美丽人生,/La vita è bella,/一个快乐的传说(港)  /  Life Is Beautiful,导演: 罗伯托·贝尼尼 Roberto Benigni主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,最美的谎言。,https://movie.douban.com/subject/1292063/
这个杀手不太冷,/Léon,/终极追杀令(台)  /  杀手莱昂,导演: 吕克·贝松 Luc Besson主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
星际穿越,/Interstellar,/星际启示录(港)  /  星际效应(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 马修·麦康纳 Matthew Mc...,9.4,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
盗梦空间,/Inception,/潜行凶间(港)  /  全面启动(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 莱昂纳多·迪卡普里奥 Le...,9.4,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
楚门的世界,/The Truman Show,/真人Show(港)  /  真人戏,导演: 彼得·威尔 Peter Weir主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.4,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
辛德勒的名单,/Schindler's List,/舒特拉的名单(港)  /  辛德勒名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 连姆·尼森 Liam Neeson...,9.5,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
忠犬八公的故事,/Hachi: A Dog's Tale,/秋田犬八千(港)  /  忠犬小八(台),导演: 莱塞·霍尔斯道姆 Lasse Hallström主演: 理查·基尔 Richard Ger...,9.4,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
海上钢琴师,/La leggenda del pianista sull'oceano,/声光伴我飞(港)  /  一九零零的传奇,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 蒂姆·罗斯 Tim Roth / ...,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,/3 Idiots,/三个傻瓜(台)  /  作死不离3兄弟(港),导演: 拉库马·希拉尼 Rajkumar Hirani主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
疯狂动物城,/Zootopia,/优兽大都会(港)  /  动物方城市(台),导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore主演: 金妮弗·...,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
放牛班的春天,/Les choristes,/歌声伴我心(港)  /  唱诗班男孩,导演: 克里斯托夫·巴拉蒂 Christophe Barratier主演: 让-巴蒂斯特·莫尼...,9.3,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
机器人总动员,/WALL·E,/太空奇兵·威E(港)  /  瓦力(台),导演: 安德鲁·斯坦顿 Andrew Stanton主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
无间道,/無間道,/Infernal Affairs  /  Mou gaan dou,导演: 刘伟强 / 麦兆辉主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,9.3,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
控方证人,/Witness for the Prosecution,/雄才伟略  /  情妇,导演: 比利·怀尔德 Billy Wilder主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,/西遊記大結局之仙履奇緣,/西游记完结篇仙履奇缘  /  齐天大圣西游记,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,一生所爱。,https://movie.douban.com/subject/1292213/
熔炉,/도가니,/无声呐喊(港)  /  漩涡,导演: 黄东赫 Dong-hyuk Hwang主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
触不可及,/Intouchables,/闪亮人生(港)  /  逆转人生(台),导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...,9.3,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
教父,/The Godfather,/Mario Puzo's The Godfather,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 马龙·白兰度 M...,9.3,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
寻梦环游记,/Coco,/玩转极乐园(港)  /  可可夜总会(台),导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina主演: ...,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
当幸福来敲门,/The Pursuit of Happyness,/寻找快乐的故事(港)  /  追求快乐,导演: 加布里尔·穆奇诺 Gabriele Muccino主演: 威尔·史密斯 Will Smith ...,9.1,平民励志片。 ,https://movie.douban.com/subject/1849031/
末代皇帝,/The Last Emperor,/末代皇帝溥仪(港)  /  L'ultimo imperatore,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci主演: 尊龙 John Lone / 陈...,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
哈利·波特与魔法石,/Harry Potter and the Sorcerer's Stone,/哈利波特1：神秘的魔法石(港 / 台) ,导演: Chris Columbus主演: Daniel Radcliffe / Emma Watson / Rupert Grint,9.2,童话世界的开端。,https://movie.douban.com/subject/1295038/
龙猫,/となりのトトロ,/邻居托托罗  /  邻家的豆豆龙,导演: 宫崎骏 Hayao Miyazaki主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
怦然心动,/Flipped,/萌动青春  /  青春萌动,导演: 罗伯·莱纳 Rob Reiner主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.1,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
活着,/人生  /  Lifetimes,,导演: 张艺谋 Yimou Zhang主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.3,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
蝙蝠侠：黑暗骑士,/The Dark Knight,/蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...,9.2,无尽的黑暗。,https://movie.douban.com/subject/1851857/
指环王3：王者无敌,/The Lord of the Rings: The Return of the King,/魔戒三部曲：王者再临(台 / 港) ,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.3,史诗的终章。,https://movie.douban.com/subject/1291552/
我不是药神,/中国药神  /  印度药神,,导演: 文牧野 Muye Wen主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
乱世佳人,/Gone with the Wind,/飘,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor主演: 费...,9.3,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
飞屋环游记,/Up,/冲天救兵(港)  /  天外奇迹(台),导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson主演: 爱德...,9.1,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
让子弹飞,/让子弹飞一会儿  /  火烧云,,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,9.0,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
哈尔的移动城堡,/ハウルの動く城,/哈尔移动城堡(港)  /  霍尔的移动城堡(台),导演: 宫崎骏 Hayao Miyazaki主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
素媛,/소원,/许愿  /  希望：为爱重生(台),导演: 李濬益 Jun-ik Lee主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
十二怒汉,/12 Angry Men,/12怒汉  /  十二怒汉,导演: Sidney Lumet主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
海蒂和爷爷,/Heidi,/飘零燕(港)  /  海蒂,导演: 阿兰·葛斯彭纳 Alain Gsponer主演: 阿努克·斯特芬 Anuk Steffen /...,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
猫鼠游戏,/Catch Me If You Can,/逍遥法外  /  捉智双雄(港),导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 莱昂纳多·迪卡普里奥 L...,9.1,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
天空之城,/天空の城ラピュタ,/天空之城拉普他  /  空中城堡拉普他,导演: 宫崎骏 Hayao Miyazaki主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,9.2,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
摔跤吧！爸爸,/Dangal,/我和我的冠军女儿(台)  /  打死不离3父女(港),导演: 涅提·蒂瓦里 Nitesh Tiwari主演: 阿米尔·汗 Aamir Khan / 法缇玛...,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
鬼子来了,/Devils on the Doorstep,,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,9.3,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
少年派的奇幻漂流,/Life of Pi,/少年Pi的奇幻漂流  /  漂流少年Pi,导演: 李安 Ang Lee主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,9.1,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
钢琴家,/The Pianist,/钢琴战曲(港)  /  战地琴人(台),导演: 罗曼·波兰斯基 Roman Polanski主演: 艾德里安·布洛迪 Adrien Brod...,9.3,,https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵,/The Lord of the Rings: The Two Towers,/魔戒二部曲：双城奇谋  /  指环王II：双塔,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.2,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
大话西游之月光宝盒,/西遊記第壹佰零壹回之月光寶盒,/西游记101回月光宝盒  /  齐天大圣东游记,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.0,,https://movie.douban.com/subject/1299398/
死亡诗社,/Dead Poets Society,/暴雨骄阳(港)  /  春风化雨(台),导演: 彼得·威尔 Peter Weir主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
何以为家,/كفرناحوم,/迦百农  /  星仔打官司(港),导演: 娜丁·拉巴基 Nadine Labaki主演: 扎因·拉费阿 Zain al-Rafeea / ...,9.1,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
闻香识女人,/Scent of a Woman,/女人香  /  女人的芳香,导演: 马丁·布莱斯 Martin Brest主演: 阿尔·帕西诺 Al Pacino / 克里斯...,9.1,,https://movie.douban.com/subject/1298624/
绿皮书,/Green Book,/绿簿旅友(港)  /  幸福绿皮书(台),导演: 彼得·法雷里 Peter Farrelly主演: 维果·莫腾森 Viggo Mortensen /...,8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
大闹天宫,/大闹天宫 上下集  /  The Monkey King,,导演: 万籁鸣 Laiming Wan主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,9.4,,https://movie.douban.com/subject/1418019/
黑客帝国,/The Matrix,/22世纪杀人网络(港)  /  廿二世纪杀人网络(港),导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski主...,9.1,,https://movie.douban.com/subject/1291843/
罗马假日,/Roman Holiday,/金枝玉叶(港)  /  罗马假期(台),导演: 威廉·惠勒 William Wyler主演: 奥黛丽·赫本 Audrey Hepburn / 格...,9.1,,https://movie.douban.com/subject/1293839/
指环王1：护戒使者,/The Lord of the Rings: The Fellowship of the Ring,/指环王1：魔戒再现  /  指环王I：护戒使者,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,,https://movie.douban.com/subject/1291571/
教父2,/The Godfather: Part II,/教父续集(港)  /  教父II,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...,9.3,,https://movie.douban.com/subject/1299131/
狮子王,/The Lion King,/狮子王3D,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff主演: 乔纳森·泰勒·托马...,9.1,,https://movie.douban.com/subject/1301753/
天堂电影院,/Nuovo Cinema Paradiso,/星光伴我心(港)  /  新天堂乐园(台),导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 菲利普·努瓦雷 Philipp...,9.2,,https://movie.douban.com/subject/1291828/
饮食男女,/飲食男女,/Eat Drink Man Woman,导演: 李安 Ang Lee主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.2,,https://movie.douban.com/subject/1291818/
辩护人,/변호인,/逆权大状(港)  /  正义辩护人(台),导演: 杨宇硕 Woo-seok Yang主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
搏击俱乐部,/Fight Club,/搏击会(港)  /  斗阵俱乐部(台),导演: 大卫·芬奇 David Fincher主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0,,https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事,/The Curious Case of Benjamin Button,/奇幻逆缘(港)  /  班杰明的奇幻旅程(台),导演: 大卫·芬奇 David Fincher主演: 凯特·布兰切特 Cate Blanchett / ...,9.0,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
美丽心灵,/A Beautiful Mind,/有你终生美丽(港)  /  美丽境界(台),导演: 朗·霍华德 Ron Howard主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.1,,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,/The Boy in the Striped Pajamas,/穿条纹衣服的男孩  /  穿条纹衣的男孩,导演: 马克·赫尔曼 Mark Herman主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
情书,/Love Letter,/When I Close My Eyes  /  Letters of Love,导演: 岩井俊二 Shunji Iwai主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,,https://movie.douban.com/subject/1292220/
窃听风暴,/Das Leben der Anderen,/窃听者(港)  /  他人的生活,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n...,9.2,别样人生。,https://movie.douban.com/subject/1900841/
两杆大烟枪,"/Lock, Stock and Two Smoking Barrels",/够姜四小强(港)  /  两根枪管(台),导演: 盖·里奇 Guy Ritchie主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,9.1,,https://movie.douban.com/subject/1293350/
哈利·波特与死亡圣器(下),/Harry Potter and the Deathly Hallows: Part 2,/哈利波特7：死神的圣物2(港 / 台) ,导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,9.0,10年的完美句点。,https://movie.douban.com/subject/3011235/
音乐之声,/The Sound of Music,/仙乐飘飘处处闻(港)  /  真善美(台),导演: 罗伯特·怀斯 Robert Wise主演: 朱莉·安德鲁斯 Julie Andrews / 克...,9.1,,https://movie.douban.com/subject/1294408/
西西里的美丽传说,/Malèna,/真爱伴我行(台)  /  玛莲娜,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 莫妮卡·贝鲁奇 Monica ...,8.9,,https://movie.douban.com/subject/1292402/
阿凡达,/Avatar,/,导演: 詹姆斯·卡梅隆 James Cameron主演: 萨姆·沃辛顿 Sam Worthington ...,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
功夫,/功夫3D  /  Kung Fu Hustle,,导演: 周星驰 Stephen Chow主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
看不见的客人,/Contratiempo,/死无对证(港)  /  布局(台),导演: 奥里奥尔·保罗 Oriol Paulo主演: 马里奥·卡萨斯 Mario Casas / 阿...,8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
哈利·波特与阿兹卡班的囚徒,/Harry Potter and the Prisoner of Azkaban,/哈利波特3：阿兹卡班的逃犯(港 / 台) ,导演: 阿方索·卡隆 Alfonso Cuarón主演: 丹尼尔·雷德克里夫 Daniel Rad...,9.0,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
拯救大兵瑞恩,/Saving Private Ryan,/雷霆救兵(港)  /  抢救雷恩大兵(台),导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...,9.1,,https://movie.douban.com/subject/1292849/
小鞋子,/بچه های آسمان,/天堂的孩子  /  小童鞋,导演: 马基德·马基迪 Majid Majidi主演: 默罕默德·阿米尔·纳吉 Mohamma...,9.2,,https://movie.douban.com/subject/1303021/
沉默的羔羊,/The Silence of the Lambs,/沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme主演: 朱迪·福斯特 Jodie Foster / 安...,8.9,,https://movie.douban.com/subject/1293544/
飞越疯人院,/One Flew Over the Cuckoo's Nest,/飞越杜鹃窝(台)  /  飞越喜鹊巢,导演: 米洛斯·福尔曼 Miloš Forman主演: 杰克·尼科尔森 Jack Nichols...,9.1,,https://movie.douban.com/subject/1292224/
布达佩斯大饭店,/The Grand Budapest Hotel,/布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),导演: 韦斯·安德森 Wes Anderson主演: 拉尔夫·费因斯 Ralph Fiennes / ...,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
蝴蝶效应,/The Butterfly Effect,/蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber主...,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
禁闭岛,/Shutter Island,/不赦岛(港)  /  隔离岛(台),导演: Martin Scorsese主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
致命魔术,/The Prestige,/死亡魔法(港)  /  顶尖对决(台),导演: 克里斯托弗·诺兰 Christopher Nolan主演: 休·杰克曼 Hugh Jackman...,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
心灵捕手,/Good Will Hunting,/骄阳似我(港)  /  心灵捕手,导演: 格斯·范·桑特 Gus Van Sant主演: 马特·达蒙 Matt Damon / 罗宾·...,9.0,,https://movie.douban.com/subject/1292656/
低俗小说,/Pulp Fiction,/危险人物(港)  /  黑色追缉令(台),导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 约翰·特拉沃尔塔 John Tra...,8.9,,https://movie.douban.com/subject/1291832/
超脱,/Detachment,/人间师格(台),导演: 托尼·凯耶 Tony Kaye主演: 艾德里安·布洛迪 Adrien Brody / 马西...,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
哈利·波特与密室,/Harry Potter and the Chamber of Secrets,/哈利波特2：消失的密室(港 / 台) ,导演: Chris Columbus主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,8.9,,https://movie.douban.com/subject/1296996/
摩登时代,/Modern Times,/The Masses  /  Les Temps modernes,导演: 查理·卓别林 Charles Chaplin主演: 查理·卓别林 Charles Chaplin ...,9.3,,https://movie.douban.com/subject/1294371/
喜剧之王,/喜劇之王,/King of Comedy,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee主演: 周星驰 Stephen Ch...,8.8,,https://movie.douban.com/subject/1302425/
致命ID,/Identity,/杀人游戏  /  致命身份,导演: 詹姆斯·曼高德 James Mangold主演: 约翰·库萨克 John Cusack / 雷...,8.9,,https://movie.douban.com/subject/1297192/
杀人回忆,/살인의 추억,/谋杀回忆  /  杀手回忆录,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.9,,https://movie.douban.com/subject/1300299/
春光乍泄,/春光乍洩,/一起快乐  /  Happy Together,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,9.0,,https://movie.douban.com/subject/1292679/
