title,href,type,site,time,show,score
霸王别姬 - Farewell My Concubine,https://ssr1.scrape.center/detail/1,"剧情, 爱情",中国内地、中国香港,1993-07-26 上映,171 分钟,9.5
这个杀手不太冷 - Léon,https://ssr1.scrape.center/detail/2,"剧情, 动作, 犯罪",法国,1994-09-14 上映,110 分钟,9.5
肖申克的救赎 - The Shawshank Redemption,https://ssr1.scrape.center/detail/3,"剧情, 犯罪",美国,1994-09-10 上映,142 分钟,9.5
泰坦尼克号 - Titanic,https://ssr1.scrape.center/detail/4,"剧情, 爱情, 灾难",美国,1998-04-03 上映,194 分钟,9.5
罗马假日 - Roman Holiday,https://ssr1.scrape.center/detail/5,"剧情, 喜剧, 爱情",美国,1953-08-20 上映,118 分钟,9.5
唐伯虎点秋香 - Flirting Scholar,https://ssr1.scrape.center/detail/6,"喜剧, 爱情, 古装",中国香港,1993-07-01 上映,102 分钟,9.5
乱世佳人 - Gone with the Wind,https://ssr1.scrape.center/detail/7,"剧情, 爱情, 历史, 战争",美国,1939-12-15 上映,238 分钟,9.5
喜剧之王 - The King of Comedy,https://ssr1.scrape.center/detail/8,"剧情, 喜剧, 爱情",中国香港,1999-02-13 上映,85 分钟,9.5
楚门的世界 - The Truman Show,https://ssr1.scrape.center/detail/9,"剧情, 科幻",美国,,103 分钟,9.0
狮子王 - The Lion King,https://ssr1.scrape.center/detail/10,"动画, 歌舞, 冒险",美国,1995-07-15 上映,89 分钟,9.0
V字仇杀队 - V for Vendetta,https://ssr1.scrape.center/detail/11,"剧情, 动作, 科幻, 惊悚",美国、英国、德国,2005-12-11 上映,132 分钟,8.9
少年派的奇幻漂流 - Life of Pi,https://ssr1.scrape.center/detail/12,"剧情, 奇幻, 冒险",美国、中国台湾、英国、加拿大,2012-11-22 上映,127 分钟,8.9
美丽心灵 - A Beautiful Mind,https://ssr1.scrape.center/detail/13,"剧情, 传记",美国,2001-12-13 上映,135 分钟,8.8
初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,https://ssr1.scrape.center/detail/14,"喜剧, 爱情",泰国,2012-06-05 上映,118 分钟,8.9
借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,https://ssr1.scrape.center/detail/15,"动画, 奇幻, 冒险",日本,2010-07-17 上映,94 分钟,8.8
一一 - Yi yi: A One and a Two,https://ssr1.scrape.center/detail/16,"剧情, 爱情, 家庭",中国台湾、日本,2000-05-15 上映,173 分钟,8.8
美丽人生 - La vita è bella,https://ssr1.scrape.center/detail/17,"战争, 剧情, 爱情",意大利,2020-01-03 上映,116 分钟,9.1
海上钢琴师 - La leggenda del pianista sull'oceano,https://ssr1.scrape.center/detail/18,"剧情, 爱情, 音乐",意大利,2019-11-15 上映,126 分钟,9.1
千与千寻 - 千と千尋の神隠し,https://ssr1.scrape.center/detail/19,"动画, 冒险, 奇幻, 家庭",日本,2019-06-21 上映,125 分钟,9.1
迁徙的鸟 - The Travelling Birds,https://ssr1.scrape.center/detail/20,纪录片,法国、德国、意大利、西班牙、瑞士,2001-12-12 上映,98 分钟,9.1
